truth,threshold_mm,lead_days,POD,FAR,CSI,BIAS,HSS,hits,false_alarms,misses,correct_neg,n,POD_lo,FAR_lo,CSI_lo,BIAS_lo,HSS_lo,POD_hi,FAR_hi,CSI_hi,BIAS_hi,HSS_hi
IMD,1.0,1,0.8760104747808266,0.44583693460097956,0.5138582782341549,1.5807810543094614,0.5374315033835907,7694.0,6190.0,1089.0,20215.0,35188.0,0.8538310265844083,0.40160848031100155,0.4702092265211558,1.4849700728793467,0.49692743169557957,0.8990632899995428,0.4893318365288526,0.5576420407460734,1.6889289732946768,0.5760603559624301
IMD,1.0,2,0.8632585676875782,0.4560975609756098,0.5007595271118156,1.5871570078560857,0.5204925345761529,7582.0,6358.0,1201.0,20047.0,35188.0,0.8386360329776916,0.41418950973264435,0.46008371852847973,1.4935631868604402,0.48166348420223937,0.8880345350353748,0.4953267733917772,0.5436037697270568,1.68864010109536,0.5590946807666906
IMD,1.0,3,0.8597290219742685,0.46865104496516785,0.4889593990804895,1.6180120687692132,0.5036418068423187,7551.0,6660.0,1232.0,19745.0,35188.0,0.8357141804997343,0.42589880081571024,0.4493721522449451,1.519751050268577,0.4649802870117663,0.8851709292547125,0.5112389464742076,0.5310579975852971,1.7297322689613357,0.5419849981119531
IMD,1.0,4,0.8411704429010589,0.4742011244751263,0.4783115369674997,1.5997950586360015,0.4906344741916583,7388.0,6663.0,1395.0,19742.0,35188.0,0.8159656805780434,0.42999319400756986,0.43824946720433966,1.503374574844274,0.4512577693275457,0.8686772388492148,0.5141480860108145,0.5222696137742486,1.698205560141547,0.5319055596124777
IMD,1.0,5,0.8400318797677331,0.4825361200729415,0.471046415118432,1.6233633154958442,0.4796947650542731,7378.0,6880.0,1405.0,19525.0,35188.0,0.8149874764805692,0.4429634363031507,0.4311385962871446,1.5397227161640623,0.4424635784199482,0.8674137390583697,0.5219763999012909,0.5120361759084043,1.7331549542510591,0.5186532232480574
IMD,1.0,6,0.8518729363543208,0.4971774193548387,0.46239416599715716,1.6941819423887055,0.4641770546800751,7482.0,7398.0,1301.0,19007.0,35188.0,0.8265715377491885,0.45507186778566283,0.4193092256785165,1.58784678059797,0.418960302662216,0.8770065783632093,0.5436598611373874,0.5018425437551047,1.8250551839707834,0.5045033694431508
IMD,1.0,7,0.8426505749743823,0.5108070592901051,0.44824662346314575,1.7225321644085165,0.4431383269137797,7401.0,7728.0,1382.0,18677.0,35188.0,0.8143231534890448,0.46907276441943585,0.4105407205069172,1.6126834029541943,0.4041141198738894,0.8683541655356288,0.5492511347293401,0.4899597856348761,1.8318465917159938,0.4847440215424675
IMD,2.5,1,0.8059229442208166,0.47053267850396674,0.4695928966326018,1.5221391604370327,0.5259736267800093,5606.0,4982.0,1350.0,23250.0,35188.0,0.7747392152144306,0.42468857886510714,0.4306133996225485,1.4355075568723654,0.4876038574382948,0.8380641923411061,0.5111911448893484,0.5183315998030676,1.6225330009940548,0.5704062004569862
IMD,2.5,2,0.7827774583093732,0.4819219790675547,0.4529573246818068,1.5109258194364577,0.5059630321877635,5445.0,5065.0,1511.0,23167.0,35188.0,0.7417800323276437,0.4346409680564764,0.4060263059034404,1.4214219520240612,0.4593573270933114,0.8211340163942823,0.5293315899017864,0.5018083630934123,1.6081110518890545,0.5499725872652662
IMD,2.5,3,0.7696952271420356,0.49604668674698793,0.43791918861442825,1.5273145485911443,0.486385076053907,5354.0,5270.0,1602.0,22962.0,35188.0,0.7294095383118234,0.4458706836157337,0.3980879839053007,1.441350938776416,0.4467705005185287,0.8109585629386834,0.5369639273771799,0.4876661511616776,1.6126345840803353,0.5326472781853513
IMD,2.5,4,0.7491374353076481,0.4999520199596968,0.4283248397172448,1.4981311098332375,0.4753688117046201,5211.0,5210.0,1745.0,23022.0,35188.0,0.7104343503500171,0.44733291327578284,0.384285704908919,1.40629781891533,0.43038704123511545,0.7878178544119084,0.5462918355759728,0.477020083263062,1.593763990807563,0.5225167094248229
IMD,2.5,5,0.7403680276020701,0.5129102430719757,0.41602714274174,1.519982748706153,0.4584546949311869,5150.0,5423.0,1806.0,22809.0,35188.0,0.6928779055237831,0.4663848978522816,0.36885028327922725,1.4364396971198075,0.40868757811541945,0.7817058505542932,0.5613330764212979,0.46203921702633916,1.6094914274624053,0.5028084186710593
IMD,2.5,6,0.7446808510638298,0.5295186194368756,0.40513061160644454,1.582806210465785,0.4412719922910044,5180.0,5830.0,1776.0,22402.0,35188.0,0.7007200321653714,0.47771471465992643,0.3630745167716578,1.4921734515527676,0.3962505953812458,0.7900644295160939,0.5761035614233878,0.4556524935704165,1.6849181600258545,0.49064309443437537
IMD,2.5,7,0.7393617021276596,0.5373335732277797,0.39778791863253155,1.5980448533640024,0.43072957966965125,5143.0,5973.0,1813.0,22259.0,35188.0,0.6923077202001146,0.48695517734071897,0.35501137405411176,1.5048899158130817,0.38762310568883457,0.7848472932265764,0.5810576274554018,0.44824247913818677,1.701605698238707,0.4787278371660054
