threshold_mm,lead_days,model,far_imd,far_era5,gap,gap_lo,gap_hi,n
1.0,1,ECMWF (IFS - same lineage as ERA5),0.4134081859129186,0.17031137802728638,-0.24309680788563223,-0.2786516142348893,-0.2153250878565358,43287
1.0,1,ICON (DWD),0.38601756954612004,0.17035139092240117,-0.21566617862371887,-0.2434106078388505,-0.19247294137561133,43287
1.0,1,GFS (NCEP),0.3822892555812738,0.1710595086985739,-0.2112297468826999,-0.2432809164085865,-0.18454881551089428,43287
1.0,2,ECMWF (IFS - same lineage as ERA5),0.41749229053211734,0.17951577980447478,-0.23797651072764256,-0.2709898457389727,-0.2116927720756206,43287
1.0,2,ICON (DWD),0.38860563068055864,0.17933939259587675,-0.2092662380846819,-0.2382180630133236,-0.18426059821904253,43287
1.0,2,GFS (NCEP),0.40008880994671403,0.1896832445233866,-0.21040556542332742,-0.23942509573776155,-0.18512467978534905,43287
1.0,3,ECMWF (IFS - same lineage as ERA5),0.4289430894308943,0.1938861788617886,-0.23505691056910571,-0.2708458813583596,-0.20726837607533555,43287
1.0,3,ICON (DWD),0.39937690082338106,0.19175135375713967,-0.2076255470662414,-0.23498974321938917,-0.18093634371095982,43287
1.0,3,GFS (NCEP),0.41437802907915994,0.20348068732559849,-0.21089734175356145,-0.23658135518613863,-0.18690967778463824,43287
1.0,4,ECMWF (IFS - same lineage as ERA5),0.43133500594216295,0.20031691535719,-0.23101809058497294,-0.26245770782065314,-0.2063631955816969,43287
1.0,4,ICON (DWD),0.4133236257735712,0.2099017109574081,-0.2034219148161631,-0.22943894446567897,-0.17832068679045898,43287
1.0,4,GFS (NCEP),0.4310639510041305,0.22397094430992737,-0.2070930066942031,-0.2318462930589676,-0.18505272122607364,43287
1.0,5,ECMWF (IFS - same lineage as ERA5),0.43998430962343094,0.21044717573221758,-0.22953713389121336,-0.2599407208351247,-0.2046220598055527,43287
1.0,5,ICON (DWD),0.4248142211860702,0.2273058429258342,-0.197508378260236,-0.2191169227429009,-0.17532259099955066,43287
1.0,5,GFS (NCEP),0.3981818181818182,0.19203463203463203,-0.20614718614718616,-0.22886274779406493,-0.18354227642077614,43287
1.0,6,ECMWF (IFS - same lineage as ERA5),0.45163140453734385,0.23030843742034157,-0.22132296711700228,-0.2505788570421042,-0.1977506025222287,43287
1.0,6,ICON (DWD),0.4369753979739508,0.2381331403762663,-0.1988422575976845,-0.2195113988468329,-0.17690111730089766,43287
1.0,6,GFS (NCEP),0.38953651030495196,0.18427678821225404,-0.2052597220926979,-0.22756784173275643,-0.18303602844748487,43287
2.5,1,ECMWF (IFS - same lineage as ERA5),0.4422981263472061,0.22251699552313048,-0.21978113082407563,-0.26947458683201314,-0.17853501146797365,43287
2.5,1,ICON (DWD),0.4197599261311173,0.22585410895660202,-0.19390581717451527,-0.2356694815554496,-0.15626939115307467,43287
2.5,1,GFS (NCEP),0.4138501996688419,0.22869387357553325,-0.18515632609330865,-0.23382618006325637,-0.1454320947643694,43287
2.5,2,ECMWF (IFS - same lineage as ERA5),0.4511953833470734,0.23866446826051113,-0.21253091508656224,-0.26152532297527614,-0.17125067602933822,43287
2.5,2,ICON (DWD),0.43066442702500934,0.23805524449421425,-0.1926091825307951,-0.23345073127013946,-0.15302992058530954,43287
2.5,2,GFS (NCEP),0.435326034299002,0.24958821819591126,-0.18573781610309076,-0.23123979567068942,-0.14701342505079176,43287
2.5,3,ECMWF (IFS - same lineage as ERA5),0.46091421000331234,0.25546538588936735,-0.205448824113945,-0.25600523943603865,-0.16371032921421766,43287
2.5,3,ICON (DWD),0.4387649439894568,0.2546361668078697,-0.1841287771815871,-0.22885350362925735,-0.13924166120575507,43287
2.5,3,GFS (NCEP),0.4541874759892432,0.26690357280061466,-0.18728390318862853,-0.23224427760856464,-0.1477185392232511,43287
2.5,4,ECMWF (IFS - same lineage as ERA5),0.4672858099062918,0.2609605087014726,-0.20632530120481923,-0.25854080911468014,-0.16328551320995405,43287
2.5,4,ICON (DWD),0.4497052493683915,0.26780200243286234,-0.18190324693552917,-0.22785952913573432,-0.13744234800838573,43287
2.5,4,GFS (NCEP),0.4703034816607708,0.2889592254701173,-0.18134425619065347,-0.22833556423594206,-0.14210322785509366,43287
2.5,5,ECMWF (IFS - same lineage as ERA5),0.48167064832358514,0.2841255457615949,-0.19754510256199026,-0.24808857461113099,-0.15673769962481326,43287
2.5,5,ICON (DWD),0.4700822737471952,0.2887995512341062,-0.18128272251308897,-0.22302210242704207,-0.1414665879326556,43287
2.5,5,GFS (NCEP),0.43051418210076414,0.23986530242196608,-0.19064887967879807,-0.23975648192375973,-0.14318311046991183,43287
2.5,6,ECMWF (IFS - same lineage as ERA5),0.4912576195059352,0.29924606993904396,-0.19201154956689126,-0.2422549806475331,-0.15214490978225137,43287
2.5,6,ICON (DWD),0.4794520547945205,0.3027582376897445,-0.176693817104776,-0.22098751690580767,-0.13514937877732022,43287
2.5,6,GFS (NCEP),0.4224151058321913,0.2325262677021471,-0.18988883813004417,-0.23744113687920873,-0.1469830969377412,43287
