threshold_mm,lead_days,ERA5,IMD,FAR_gap_ERA5_minus_IMD
1.0,1,0.16364688599029514,0.42311801629346035,-0.2594711303031652
1.0,2,0.1753956962475547,0.4317535123599502,-0.2563578161123955
1.0,3,0.18716553791495502,0.4395470189852337,-0.2523814810702787
1.0,4,0.19284075057372993,0.44354947576834813,-0.2507087251946182
1.0,5,0.20603753422827756,0.453416149068323,-0.24737861484004545
1.0,6,0.22472955430549546,0.46644309822587626,-0.2417135439203808
1.0,7,0.2398623688598991,0.4792603381673105,-0.23939796930741142
2.5,1,0.21843756266651387,0.4536339416162947,-0.23519637894978085
2.5,2,0.2352504426295048,0.4656176823347992,-0.2303672397052944
2.5,3,0.2504382813622647,0.4740911050438281,-0.22365282368156342
2.5,4,0.2577958945989227,0.4799534138884845,-0.2221575192895618
2.5,5,0.27807287030922506,0.493984897642769,-0.21591202733354392
2.5,6,0.2970753372999246,0.5066901310092461,-0.2096147937093215
2.5,7,0.31171023965141614,0.5178921568627451,-0.206181917211329
