threshold_mm,lead_days,mon_pooled,mon_strat,mon_ppv,non_pooled,non_strat,non_ppv,inversion_pooled,inversion_strat
1.0,1,0.4063976544976833,0.3233435832824708,0.6117432002269217,0.5244888380333919,0.45847598126762945,0.49306660604682884,True,True
1.0,2,0.3869556222322942,0.3011987421185904,0.6042768959435626,0.5096869775360084,0.4457955667130562,0.4817865779927449,True,True
1.0,3,0.37468900118164705,0.28585466034811097,0.5998674744414995,0.49111260969034554,0.42192957326663666,0.46683654350595816,True,True
1.0,4,0.3592155651859952,0.26584755448066943,0.5948642979724147,0.4800689120769167,0.4100817226331886,0.4633281972265023,True,True
1.0,5,0.3438589860719912,0.24968304622671295,0.588081349519155,0.46146446316949435,0.3857347232056238,0.4469100272644653,True,True
1.0,6,0.33083071736076997,0.23415654442779596,0.5811576697946669,0.43975423817093984,0.36395203755610983,0.42322877036824347,True,True
1.0,7,0.3132950667377487,0.2141129473836364,0.5731826511912034,0.42109483387712593,0.3415618405528104,0.40340326658921616,True,True
2.5,1,0.43055716607391653,0.35556210634231766,0.570530238335533,0.5024268099197822,0.43078070915864775,0.4782941498086386,True,True
2.5,2,0.408421743151983,0.33086177561045854,0.5604634886072012,0.48587325493056616,0.4152960449582453,0.46225806451612905,True,True
2.5,3,0.3918237405836963,0.310614789349537,0.5534401876465989,0.4675188587960572,0.3923944667814012,0.44948453608247424,True,True
2.5,4,0.372826478983632,0.29003403407482464,0.545272262630234,0.4583287348883427,0.38589253823524566,0.44803591470258136,True,True
2.5,5,0.35119556189620843,0.2637822404562053,0.5338129496402878,0.4373450890095662,0.35263337760931907,0.42758393680052664,True,True
2.5,6,0.3401293774801531,0.24908233858016238,0.5265226682949168,0.4154900839492887,0.3386014259974346,0.40260552371026576,True,True
2.5,7,0.32582957320370853,0.23193526616141827,0.5181183884762548,0.4034208931232341,0.31624448635399377,0.38670244484197974,True,True
