season,threshold_mm,lead_days,n,base_rate,POD,FAR,CSI,BIAS,HSS,POD_lo,POD_hi,FAR_lo,FAR_hi,CSI_lo,CSI_hi,BIAS_lo,BIAS_hi,HSS_lo,HSS_hi
monsoon (JJAS),1.0,1,46704,0.4576481671805413,0.9081126602414148,0.38825679977307825,0.5760840530674027,1.4844671095723776,0.4063976544976833,0.8664403958646409,0.9357847933483193,0.3484082863945855,0.4477263256308609,0.5113876489881124,0.6213807096444384,1.416623952390654,1.595781499482246,0.34517967484624473,0.4551144621696686
monsoon (JJAS),1.0,2,46704,0.4576481671805413,0.8976794235987648,0.3957231040564374,0.5653378119567459,1.4855431833068213,0.3869556222322942,0.8556144698595665,0.9243910215363599,0.3565725670051827,0.4531114312209994,0.5014771520855995,0.6095683620840668,1.42116749390761,1.5872350182701165,0.3327402557216346,0.4306270931279908
monsoon (JJAS),1.0,3,46704,0.4576481671805413,0.8894451202395434,0.40013252555850054,0.5582440170312729,1.4827360344343594,0.37468900118164705,0.8415646923610669,0.9208032688587523,0.3580190064279516,0.45929004110632227,0.492742986646803,0.605439796388276,1.4115398516257793,1.584443742648391,0.3156106258405237,0.41883593258270324
monsoon (JJAS),1.0,4,46704,0.4576481671805413,0.8757368765790212,0.4051357020275853,0.5485610456596917,1.4721624403480864,0.3592155651859952,0.8223362435853647,0.9106996511285432,0.36308013754946555,0.4659090665855304,0.48259140619997115,0.5962416706623381,1.4066225305883995,1.569918560116375,0.30085226961215367,0.40194335110113155
monsoon (JJAS),1.0,5,46704,0.4576481671805413,0.8726022270047722,0.41191865048084503,0.5415819734014751,1.4838121081688032,0.3438589860719912,0.8191693443978143,0.9067240932091863,0.3712386222934279,0.4717615038962692,0.4754108164587482,0.5886609307948292,1.4180663564905989,1.5823303803370925,0.2903491064185063,0.38364441530219684
monsoon (JJAS),1.0,6,46704,0.4576481671805413,0.8779358098624497,0.41884233020533307,0.5377098974153247,1.5106671657153552,0.33083071736076997,0.8245448976944474,0.9158213680742224,0.37616498700641676,0.4769155292439466,0.4713028079859111,0.5881422487060559,1.441713308347881,1.617203352268145,0.26634767510033214,0.37256051564359594
monsoon (JJAS),1.0,7,46704,0.4576481671805413,0.8779825956769908,0.42681734880879657,0.5308928369356116,1.5317675680733602,0.3132950667377487,0.8198067691527015,0.916455558368405,0.38271987866536605,0.49148706027253136,0.45923111742856154,0.5813058651816706,1.4576626056170883,1.6478027679621068,0.25125660348934414,0.355228903922446
monsoon (JJAS),2.5,1,46704,0.3701610140459061,0.8501850994909764,0.42946976166446704,0.5184113995485328,1.4901665895418787,0.43055716607391653,0.8000693959409662,0.8826017325956871,0.39968518708650014,0.4833443431307262,0.45904502220968424,0.553059962415087,1.4312669549138841,1.5834329148877408,0.37737581556443545,0.46629728544518745
monsoon (JJAS),2.5,2,46704,0.3701610140459061,0.8337575196668209,0.4395365113927988,0.5041270285394516,1.4876214715409533,0.408421743151983,0.7845356542934043,0.8641196117023261,0.4089013411439044,0.4903655423315225,0.4484521220685316,0.53784875682673,1.4251501413544558,1.5799546716572959,0.3599987174749411,0.44059959626461004
monsoon (JJAS),2.5,3,46704,0.3701610140459061,0.8188917167977788,0.4465598123534011,0.4930862735536902,1.479639055992596,0.3918237405836963,0.7644894249517564,0.8561963703603217,0.4130479354231759,0.5049681683556013,0.43117586419212856,0.5277774125828704,1.4046186884883196,1.5879638643607996,0.34250062708286205,0.4217766206795607
monsoon (JJAS),2.5,4,46704,0.3701610140459061,0.8022327626099028,0.45472773736976607,0.4806612601372427,1.471251735307728,0.372826478983632,0.7487597461838128,0.842707823834619,0.41980533708650614,0.5058138979146418,0.4264239370151263,0.5170721937267008,1.3912098331591634,1.5756592279669155,0.3229784427681411,0.4033751668669714
monsoon (JJAS),2.5,5,46704,0.3701610140459061,0.7940189726978251,0.46618705035971225,0.46888236097827574,1.487447940768163,0.35119556189620843,0.7349031268912972,0.837806399815289,0.43121621402383753,0.521883422658809,0.4113189379837955,0.5062561573282702,1.4039426010509126,1.6032970052253939,0.3003802606134226,0.3825955941482954
monsoon (JJAS),2.5,6,46704,0.3701610140459061,0.7980680240629339,0.4734773317050832,0.46462367401919513,1.515733456732994,0.3401293774801531,0.7378276548803906,0.842094212367552,0.43942103856540105,0.5234549854679207,0.4104968423410962,0.5009246728275512,1.4285262028006662,1.6281721861197018,0.2908306479119095,0.371289313529511
